8525770	1
8525762	1
8525734	1
8525730	1
8522614	1
8516428	1
8516427	1
8516421	1
8516419	1
8516415	1
8516408	1
8516405	1
6541864	1
6541861	1
6539837	1
6525703	1
6525688	1
6525681	1
6525680	1
6525653	1
6525645	1
6525623	1
6522596	1
6522594	1
6522578	1
6522558	1
6522553	1
6522552	1
6522547	1
6522537	1
6522534	1
6522524	1
6522516	1
6521504	1
6521502	1
6521500	1
6516494	1
6516489	1
6516483	1
6516476	1
6516475	1
6516461	1
6516460	1
6516457	1
6516449	1
6516443	1
8513359	0
8513358	0
8513351	0
8513350	0
8513346	0
8513345	0
8513322	0
8513317	0
8513313	0
8513312	0
8513311	0
8513297	0
8513288	0
8513286	0
8513267	0
8513263	0
8513262	0
8513251	0
8513248	0
8513246	0
8513242	0
8513240	0
8513236	0
8513231	0
8513227	0
8513215	0
8513199	0
8513198	0
8513191	0
8513188	0
8513173	0
8513172	0
8513170	0
8513169	0
8513166	0
8513165	0
8513161	0
8513144	0
8513142	0
8513139	0
8513135	0
8513133	0
8513128	0
8513127	0
8513120	0
8512096	0
8512093	0
8512082	0
8512077	0
8512074	0
8512069	0
8507997	0
8507994	0
8507993	0
8507991	0
8507990	0
8507982	0
8507979	0
8507962	0
8507954	0
8507949	0
8507942	0
8507938	0
8507923	0
8507921	0
8507916	0
8507042	0
8507039	0
8507035	0
8507031	0
8507030	0
8507016	0
8507014	0
8507012	0
8507005	0
8507001	0
8450855	0
8450838	0
8450825	0
8450811	0
8450791	0
8450785	0
8450779	0
8450775	0
8450764	0
8450752	0
8450744	0
8450743	0
8450741	0
8450740	0
2445665	0
2435543	0
2435539	0
2435531	0
2435530	0
2435528	0
2419409	0
